Ticker,UNIX,SNPDate,SNPValue,StockPrice,Absolute_SNP500_Perfomance,YtY_Stock_Price_Value_Change,YtY_SNP500_Value_Change,Absolute_Stock_Perfomance,Absolute_Stock_Perfomance_Flag,YtY_Stock_Perfomance,YtY_Stock_Perfomance_Flag
aiv,1067208384.0,2003-10-23,1033.77002,15.218029228484,0,0,0,0,0,0,0
aiv,1074428692.0,2004-01-15,1132.050049,13.013965331068,9.506952910087296,-14.483241320700007,9.506952910087296,-23.990194230787303,0,-23.990194230787303,0
aiv,1085230103.0,2004-05-19,1088.680054,11.111117923158,5.311629563411018,-14.621580429197609,-3.8311022589779524,-32.2987725348477,0,-10.790478170219657,0
aiv,1101800029.0,2004-11-30,1173.819946,14.883373004615,13.547493474419015,33.95027491873519,7.820469538978084,-15.746570758635382,0,26.129805379757105,1
aiv,1105311870.0,2005-01-06,1187.890015,14.711500124166,14.908537877699338,-1.1547979103641852,1.1986564930972705,-18.237018173754464,0,-2.3534544034614555,0
aiv,1108546249.0,2005-02-16,1210.339966,15.709999715347,17.08019603818653,6.7872044506243405,1.8899014821671059,-13.847382646409324,0,4.897302968457234,1
aiv,1110342545.0,2005-03-08,1219.430054,16.192233101688,17.959510375431474,3.06959513099106,0.7510359283632813,-11.557867570195189,0,2.3185592026277786,1
aiv,1113261580.0,2005-04-11,1181.209961,15.364953413052,14.262354116247257,-5.109114249039305,-3.134258736253839,-13.296892804785204,0,-1.9748555127854655,0
aiv,1125964171.0,2005-09-02,1218.02002,17.135135977677,17.82311311368848,11.520910718292775,3.116301099326736,-5.225511148220448,0,8.404609618966038,1
aiv,1169074308.0,2007-01-17,1430.619995,27.935608979579,38.38861326235792,63.03114848911877,17.454555057313435,45.18055039315118,1,45.576593431805335,1
aiv,1171973542.0,2007-02-20,1459.680054,28.761474848765,41.19968907591265,2.956319548250084,2.0312912654348794,47.796365649303446,1,0.9250282828152048,1
aiv,1199797849.0,2008-01-08,1390.189941,15.922647481872,34.47768015172274,-44.6389743029617,-4.760640032695812,-29.847525728907286,0,-39.87833427026589,0
aiv,1201138262.0,2008-01-23,1338.599976,20.212901993747,29.487211865555942,26.944354051419356,-3.711001171745647,3.3348618094897162,1,30.655355223165003,1
aiv,1366636927.0,2013-04-22,1562.5,26.596150270236,51.14580320292129,31.580068406128422,16.72643269194262,23.62157219714208,1,14.853635714185803,1
aiv,1368581352.0,2013-05-14,1650.339966,28.089448155689,59.642854220129166,5.614714424005055,5.621757824,24.93721021497663,1,-0.0070433999949450765,0
