Date,Unix,Ticker,Total Debt/Equity (mrq),Stock Price,Stock Change,SNP500 Value,SNP500 Change,YtY Stock Price Change,YtY SNP500 Value Change,Absolute Stock Perfomance,YtY Stock Perfomance,Absolute Difference,YtY Difference
2004-01-30 19:01:02,1075510862.0,a,0.407,25.147391689101,0.0,1131.130005,0.0,0.0,0.0,0,0,0.0,0.0
2004-04-13 04:07:11,1081847231.0,a,0.375,21.156283675503,-15.870862723817847,1129.439941,-0.14941377140816745,-15.870862723817847,-0.14941377140816745,0,0,-15.72144895240968,-15.72144895240968
2004-12-13 21:37:34,1102995454.0,a,0.323,16.264617956272,-35.322843190448395,1198.680054,5.971908507545951,-23.121573685907283,6.130482063410562,0,0,-41.29475169799434,-29.252055749317844
2005-01-22 05:17:19,1106392639.0,a,0.322,15.05022953504,-40.15192620727007,1184.630005,4.729783469938099,-7.466442953021877,-1.1721267032945846,0,0,-44.88170967720817,-6.294316249727292
2006-01-09 02:35:16,1136795716.0,a,0.0,23.571415704244,-6.266956049919223,1290.150024,14.058509481410145,56.618313689933714,8.907424137041003,0,1,-20.325465531329368,47.71088955289271
2006-06-21 11:01:16,1150905676.0,a,0.368,22.281980807543,-11.394465545306959,1252.199951,10.703451014899041,-5.470332850940466,-2.941524031626881,0,0,-22.097916560206002,-2.5288088193135847
2006-08-19 10:42:01,1156002121.0,a,0.396,21.838524361588,-13.157894736840952,1295.430054,14.525301978882606,-1.990202082055826,3.4523322705352726,0,0,-27.683196715723557,-5.442534352591099
2007-02-20 17:46:56,1172015216.0,a,0.411,22.165999890909,-11.855670103091246,1459.680054,29.046179267430883,1.4995313964390342,12.67918707712798,0,0,-40.90184937052213,-11.179655680688946
2007-04-12 05:07:51,1176372471.0,a,0.411,23.789732723791,-5.3988062940874055,1447.800049,27.995901673565807,7.325330871033469,-0.813877326572004,0,1,-33.39470796765321,8.139208197605473
2008-01-23 19:28:50,1201138130.0,a,0.645,22.807306135829,-9.305480195332565,1338.599976,18.3418325111091,-4.129624318895874,-7.542483029712895,0,1,-27.647312706441667,3.412858710817021
2008-02-14 04:44:34,1202985874.0,a,0.645,21.517871239128,-14.4329896907203,1348.859985,19.248890846989784,-5.653604546813924,0.7664731199726305,0,0,-33.681880537710086,-6.420077666786555
2008-04-26 04:49:23,1209203363.0,a,0.67,21.176750896085,-15.789473684210733,1379.930054,21.995707646354933,-1.585288522512891,2.3034317383208514,0,0,-37.78518133056566,-3.8887202608337423
2008-12-06 19:21:33,1228612893.0,a,0.83,12.416780486751,-50.62398263700449,870.73999,-23.020343713718386,-41.365979381442685,-36.89970100470034,0,0,-27.603638923286102,-4.466278376742345
